# SYNTHETIC FIXTURE DATA - invented for pipeline testing. Not real filings, people, securities or prices.
filer_name,chamber,owner_code,trade_date,disclosure_date,ticker,asset_name,asset_type_hint,transaction_type,amount_range_text,sector,source,source_url
Synthetic Member Alpha,senate,SELF,2019-03-27,2019-05-20,ZZII,[SYNTHETIC] ZZII Put Options,Options,Purchase,"$1,000,001 - $5,000,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2019-04-26,2019-05-22,ZZGG,[SYNTHETIC] ZZGG Common Stock,Stock,Purchase,"$1,001 - $15,000",semiconductors,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,DC,2019-07-09,2019-08-09,ZZDD,[SYNTHETIC] ZZDD Common Stock - short sale,Stock,Sale,"$1,001 - $15,000",financials,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2019-07-15,2019-07-22,ZZEE,[SYNTHETIC] ZZEE Call Options,Options,Sale (Full),"$15,001 - $50,000",health_care,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2019-09-18,2019-10-09,ZZCC,[SYNTHETIC] ZZCC Put Options,Options,Purchase,"$15,001 - $50,000",technology,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2019-11-28,2020-07-29,ZZCC,[SYNTHETIC] ZZCC Call Options,Options,Purchase,"$15,001 - $50,000",technology,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2020-01-28,2020-03-17,ZZEE,[SYNTHETIC] ZZEE Exchange Traded Fund,ETF,Purchase,"over $50,000,000",health_care,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,JT,2020-03-03,2020-04-21,ZZFF,[SYNTHETIC] ZZFF Call Options,Options,Purchase,"$15,001 - $50,000",gold_mining,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2020-04-01,2020-05-19,ZZAA,[SYNTHETIC] ZZAA Put Options,Options,Purchase,"$50,001 - $100,000",energy,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,DC,2020-06-12,2020-07-09,ZZII,[SYNTHETIC] ZZII Common Stock,Stock,Purchase,"$15,001 - $50,000",consumer_discretionary,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SP,2020-07-10,2021-04-16,ZZGG,[SYNTHETIC] ZZGG Common Stock,Stock,Purchase,"$100,001 - $250,000",semiconductors,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,JT,2020-07-16,2020-07-24,ZZBB,[SYNTHETIC] ZZBB Call Options,Options,Purchase,"$100,001 - $250,000",defense,synthetic-fixture,fixtures/make_fixture.py
Synthetic Member Alpha,senate,SELF,2020-08-28,2020-10-28,ZZJJ,[SYNTHETIC] ZZJJ Common Stock,Stock,Purchase,"$250,001 - $500,000",real_estate,synthetic-fixture,fixtures/make_fixture.py
